Locus,gene,mol_type,Len,sci_name,kew_id,family,genus,species,infraspecies,Duplicates,Ini_sci_name,TaxID
AY289642.1,18S ribosomal RNA,genomic DNA,1669,Acanthus ebracteatus,44857-1,Acanthaceae,Acanthus,ebracteatus,,False,Acanthus ebracteatus,241842
Y17766.1,18S rRNA,genomic DNA,1805,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
DQ299963.1,18S ribosomal RNA,genomic DNA,1767,Avicennia marina,861130-1,Acanthaceae,Avicennia,marina,,False,Avicennia marina,82927
AF107567.1,18S ribosomal RNA,genomic DNA,1741,Barleria prionitis,46147-1,Acanthaceae,Barleria,prionitis,,False,Barleria prionitis,4189
AF107568.1,18S ribosomal RNA,genomic DNA,1738,Dianthera americana,78915-2,Acanthaceae,Dianthera,americana,,False,Justicia americana,28522
L49290.1,18S ribosomal RNA,genomic DNA,1735,Pachystachys lutea,52814-1,Acanthaceae,Pachystachys,lutea,,False,Pachystachys lutea,76374
AF107569.1,18S ribosomal RNA,genomic DNA,1739,Thunbergia alata,56177-1,Acanthaceae,Thunbergia,alata,,False,Thunbergia alata,32198
AF206837.1,18S ribosomal RNA,genomic DNA,1740,Acharia tragodes,674030-1,Achariaceae,Acharia,tragodes,,False,Acharia tragodes,112802
AB233528.1,18S ribosomal RNA,genomic DNA,1736,Camptostylus mannii,365027-1,Achariaceae,Camptostylus,mannii,,False,Camptostylus mannii,179727
AB233529.1,18S ribosomal RNA,genomic DNA,1736,Ceratiosicyos laevis,56878-1,Achariaceae,Ceratiosicyos,laevis,,False,Ceratiosicyos laevis,212226
AB233530.1,18S ribosomal RNA,genomic DNA,1736,Dasylepis racemosa,111549-1,Achariaceae,Dasylepis,racemosa,,False,Dasylepis brevipedicellata,344432
FJ669684.1,18S ribosomal RNA,genomic DNA,1705,Erythrospermum zeylanicum,365338-1,Achariaceae,Erythrospermum,zeylanicum,,False,Erythrospermum phytolaccoides,124844
AF206945.1,18S ribosomal RNA,genomic DNA,1740,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,False,Kiggelaria africana,112821
AB233531.1,18S ribosomal RNA,genomic DNA,1736,Kiggelaria africana,111770-1,Achariaceae,Kiggelaria,africana,,False,Kiggelaria africana,112821
AY674609.1,18S ribosomal RNA,genomic DNA,1681,Kiggelaria sp.,4346-1,Achariaceae,Kiggelaria,,,False,Kiggelaria sp. Alford 51,289678
AF206979.1,18S ribosomal RNA,genomic DNA,1738,Pangium edule,111972-1,Achariaceae,Pangium,edule,,False,Pangium edule,112823
HQ843433.1,18S ribosomal RNA,genomic DNA,1483,Phaulothamnus spinescens,327318-2,Achatocarpaceae,Phaulothamnus,spinescens,,False,Phaulothamnus spinescens,3600
L24078.1,18S ribosomal RNA,genomic DNA,1761,Acorus calamus,84009-1,Acoraceae,Acorus,calamus,,False,Acorus calamus,4465
KM103387.1,18S ribosomal RNA,genomic DNA,1740,Acorus calamus,84009-1,Acoraceae,Acorus,calamus,,False,Acorus calamus,4465
AF197584.1,18S ribosomal RNA,genomic DNA,1744,Acorus gramineus,84019-1,Acoraceae,Acorus,gramineus,,False,Acorus gramineus,55184
AF419792.1,18S ribosomal RNA,genomic DNA,1789,Actinidia chinensis,828396-1,Actinidiaceae,Actinidia,chinensis,,False,Actinidia chinensis,3625
JX236280.1,18S ribosomal RNA,genomic DNA,1757,Actinidia eriantha,828399-1,Actinidiaceae,Actinidia,eriantha,,False,Actinidia eriantha,165200
U42495.1,18S ribosomal RNA,genomic DNA,1737,Actinidia sp.,38999-1,Actinidiaceae,Actinidia,,,False,Actinidia sp. Morgan s.n.,45315
AF206839.1,18S ribosomal RNA,genomic DNA,1741,Aextoxicon punctatum,338257-1,Aextoxicaceae,Aextoxicon,punctatum,,False,Aextoxicon punctatum,39268
AF206899.1,18S ribosomal RNA,genomic DNA,1756,Delosperma echinatum,361486-1,Aizoaceae,Delosperma,echinatum,,False,Delosperma echinatum,85190
HQ843428.1,18S ribosomal RNA,genomic DNA,1512,Delosperma napiforme,361531-1,Aizoaceae,Delosperma,napiforme,,False,Delosperma napiforme,246247
KC146551.1,18S ribosomal RNA,genomic DNA,1698,Sesuvium portulacastrum,235145-2,Aizoaceae,Sesuvium,portulacastrum,,False,Sesuvium portulacastrum,221166
U42496.1,18S ribosomal RNA,genomic DNA,1713,Tetragonia tetragonoides,364795-1,Aizoaceae,Tetragonia,tetragonoides,,False,Tetragonia tetragonoides,45318
AY952405.1,18S ribosomal RNA,genomic DNA,1669,Albidella oligococca,77163628-1,Alismataceae,Albidella,oligococca,,False,Caldesia oligococca,229534
AF197585.1,18S ribosomal RNA,genomic DNA,1743,Alisma plantago-aquatica,30019518-2,Alismataceae,Alisma,plantago-aquatica,,False,Alisma plantago-aquatica,15000
JF975495.1,18S ribosomal RNA,genomic DNA,1644,Alisma plantago-aquatica,30019518-2,Alismataceae,Alisma,plantago-aquatica,,False,Alisma plantago-aquatica,15000
JN034099.1,18S ribosomal RNA,genomic DNA,1615,Caldesia parnassifolia,58293-1,Alismataceae,Caldesia,parnassifolia,,False,Caldesia parnassifolia,217073
JN034100.1,18S ribosomal RNA,genomic DNA,1615,Echinodorus sp.,30011701-2,Alismataceae,Echinodorus,,,False,Echinodorus sp. 1 LYC-2011,1046413
AY952397.1,18S ribosomal RNA,genomic DNA,1716,Hydrocleys nymphoides,58399-1,Alismataceae,Hydrocleys,nymphoides,,False,Hydrocleys nymphoides,55466
AY952395.1,18S ribosomal RNA,genomic DNA,1692,Limnocharis flava,58404-1,Alismataceae,Limnocharis,flava,,False,Limnocharis flava,55477
JN034101.1,18S ribosomal RNA,genomic DNA,1615,Limnophyton sp.,1091-1,Alismataceae,Limnophyton,,,False,Limnophyton sp. LYC-2011,1052518
AY952388.1,18S ribosomal RNA,genomic DNA,1628,Ranalisma rostrata,58439-1,Alismataceae,Ranalisma,rostrata,,False,Ranalisma rostratum,258213
KM103407.1,18S ribosomal RNA,genomic DNA,1733,Sagittaria sp.,30006593-2,Alismataceae,Sagittaria,,,False,Sagittaria sp. KH-2014,1552349
AF206844.1,18S ribosomal RNA,genomic DNA,1747,Alseuosmia macrophylla,148249-1,Alseuosmiaceae,Alseuosmia,macrophylla,,False,Alseuosmia macrophylla,49583
KP420428.1,18S ribosomal RNA,genomic DNA,1693,Alstroemeria sp.,62457-1,Alstroemeriaceae,Alstroemeria,,,True,Alstroemeria aurea,56742
AF206871.1,18S ribosomal RNA,genomic DNA,1745,Bomarea edulis,63283-1,Alstroemeriaceae,Bomarea,edulis,,False,Bomarea hirtella,59037
KP420429.1,18S ribosomal RNA,genomic DNA,1713,Bomarea edulis,63283-1,Alstroemeriaceae,Bomarea,edulis,,False,Bomarea edulis,198697
KP420431.1,18S ribosomal RNA,genomic DNA,1695,Luzuriaga radicans,279952-2,Alstroemeriaceae,Luzuriaga,radicans,,False,Luzuriaga radicans,59097
U42552.1,18S ribosomal RNA,genomic DNA,1741,Liquidambar sp.,30008300-2,Altingiaceae,Liquidambar,,,False,Altingia sp. Qiu 93006,45169
U42553.1,18S ribosomal RNA,genomic DNA,1727,Liquidambar styraciflua,430718-1,Altingiaceae,Liquidambar,styraciflua,,False,Liquidambar styraciflua,4400
AM235484.1,18S ribosomal RNA,genomic DNA,1628,Alzatea verticillata,30130749-2,Alzateaceae,Alzatea,verticillata,,False,Alzatea verticillata,39982
FJ669720.1,18S ribosomal RNA,genomic DNA,1699,Beta vulgaris,164505-1,Amaranthaceae,Beta,vulgaris,,False,Beta vulgaris,161934
AF206883.1,18S ribosomal RNA,genomic DNA,1736,Celosia argentea,316350-2,Amaranthaceae,Celosia,argentea,,False,Celosia argentea,46112
JX446578.1,18S ribosomal RNA,genomic DNA,1702,Salicornia bigelovii,166494-1,Amaranthaceae,Salicornia,bigelovii,,False,Salicornia bigelovii,46105
JX446577.1,18S ribosomal RNA,genomic DNA,1645,Salicornia bigelovii,166494-1,Amaranthaceae,Salicornia,bigelovii,,False,Salicornia bigelovii,46105
L24420.1,18S ribosomal RNA,genomic DNA,1764,Spinacia oleracea,167384-1,Amaranthaceae,Spinacia,oleracea,,False,Spinacia oleracea,3562
GQ497566.1,18S ribosomal RNA,genomic DNA,1782,Agapanthus africanus,527258-1,Amaryllidaceae,Agapanthus,africanus,,False,Agapanthus africanus,51501
HM640715.1,18S ribosomal RNA,genomic DNA,1740,Agapanthus africanus,527258-1,Amaryllidaceae,Agapanthus,africanus,,False,Agapanthus africanus,51501
AP018388.1,rrn18,genomic DNA,1879,Allium cepa,527795-1,Amaryllidaceae,Allium,cepa,,False,Allium cepa,4679
KM117265.1,18S ribosomal RNA,genomic DNA,1809,Allium cepa,527795-1,Amaryllidaceae,Allium,cepa,,False,Allium cepa,4679
JQ283942.1,18S ribosomal RNA,genomic DNA,1788,Allium fistulosum,528046-1,Amaryllidaceae,Allium,fistulosum,,False,Allium fistulosum,35875
JN797259.1,18S ribosomal RNA,genomic DNA,1668,Allium fistulosum,528046-1,Amaryllidaceae,Allium,fistulosum,,False,Allium fistulosum,35875
JN797260.1,18S ribosomal RNA,genomic DNA,1671,Allium obliquum,528506-1,Amaryllidaceae,Allium,obliquum,,False,Allium obliquum,166816
JF719285.1,18S ribosomal RNA,genomic DNA,1661,Allium sativum,528796-1,Amaryllidaceae,Allium,sativum,,False,Allium sativum,4682
JN797261.1,18S ribosomal RNA,genomic DNA,1662,Allium schoenoprasum,528823-1,Amaryllidaceae,Allium,schoenoprasum,,False,Allium schoenoprasum,74900
JX096470.1,18S ribosomal RNA,genomic DNA,1681,Allium tuberosum,529062-1,Amaryllidaceae,Allium,tuberosum,,True,Allium tuberosum,4683
JX096484.1,18S ribosomal RNA,genomic DNA,1681,Allium tuberosum,529062-1,Amaryllidaceae,Allium,tuberosum,,True,Allium tuberosum,4683
AF206889.1,18S ribosomal RNA,genomic DNA,1740,Clivia nobilis,63634-1,Amaryllidaceae,Clivia,nobilis,,False,Clivia nobilis,112537
JQ283938.1,18S ribosomal RNA,genomic DNA,1788,Crinum asiaticum,63796-1,Amaryllidaceae,Crinum,asiaticum,,False,Crinum asiaticum,205937
HM640718.1,18S ribosomal RNA,genomic DNA,1738,Crinum asiaticum var. japonicum,77188831-1,Amaryllidaceae,Crinum,asiaticum,japonicum,False,Crinum asiaticum var. japonicum,928048
JQ283927.1,18S ribosomal RNA,genomic DNA,1789,Gilliesia graminea,535923-1,Amaryllidaceae,Gilliesia,graminea,,False,Gilliesia graminea,51450
HM751211.1,18S ribosomal RNA,genomic DNA,1738,Ipheion uniflorum,536909-1,Amaryllidaceae,Ipheion,uniflorum,,False,Tristagma uniflorum,82527
